ListingId	UpdateOnDate	Address	NewPrice
1318139494511	2023-06-22	elia-3-bedroom-north-facing-townhouse-taylor-canberra	$699,900
1318155072911	2023-06-22	wova-wova-a-rising-mixed-use-community-in-woden-1-bedroom-woden-canberra	$470,900
1318155149611	2023-06-22	43-119-sutherland-crescent-taylor-canberra	$580,000+
1318163140911	2023-06-22	24-barramundi-street-throsby-canberra	By Negotiation
1318166188511	2023-06-22	305-4-anzac-park-campbell-canberra	$560,000+
1318168354111	2023-06-22	8-6-goodchild-street-lyneham-canberra	Offers
1318128922411	2023-06-23	8-sievers-view-taylor-canberra	$619,000+
1318131152711	2023-06-23	205-358-northbourne-avenue-dickson-canberra	$620,000+
1318163834611	2023-06-23	7-64-arndell-street-macquarie-canberra	$1,295,000
1318164318311	2023-06-23	72-hibberd-crescent-forde-canberra	$699,000+
1318165224811	2023-06-23	45-de-graaff-street-holder-canberra	$925,000+
1318141736311	2023-06-24	3-roe-street-griffith-canberra	UNDER OFFER
1318166440011	2023-06-24	36-noongale-court-ngunnawal-canberra	Offers Over $659,000
1318166787911	2023-06-24	18-1-bellette-street-weston-canberra	$860,000+
1318167007511	2023-06-24	30-muntz-street-chisholm-canberra	$879,000
1318082689811	2023-06-26	2-kallir-street-denman-prospect-canberra	$1,365,000+
1318111172211	2023-06-26	30-george-seddon-crescent-taylor-canberra	$619,000
1318169963611	2023-06-26	57-234-flemington-road-harrison-canberra	$369,000
1318114261411	2023-06-28	50-sibosado-street-denman-prospect-canberra	$1,230,000-$1,400,000
1318137893111	2023-06-29	9-melbourne-avenue-forrest-canberra	$7,500,000+
1317963728711	2023-07-01	2-keewong-street-crace-canberra	By Negotiation
1317973681811	2023-07-01	17-makinson-view-denman-prospect-canberra	$799,000+
1318170101611	2023-07-02	2-15-weavell-place-kambah-canberra	$700,000+
1318117726711	2023-07-03	6-esk-place-lyons-canberra	$899,000+
1318128029511	2023-07-03	95-235-flemington-road-franklin-canberra	$550,000+
1318131606511	2023-07-03	425-1-anthony-rolfe-avenue-gungahlin-canberra	Offers Over $799,000
1318139783311	2023-07-03	block-23-31-malcolm-cole-terrace-whitlam-canberra	$2,900,000
1318142289111	2023-07-03	36-gordon-ford-way-taylor-canberra	$800,000+
1318155149611	2023-07-03	43-119-sutherland-crescent-taylor-canberra	By Negotiation
1318157524011	2023-07-03	47-71-giles-street-kingston-canberra	$540,000
1318163109811	2023-07-03	4-pogney-place-richardson-canberra	$650,000- $675,000
1318163707911	2023-07-03	211-90-swain-street-gungahlin-canberra	By Negotiation
1318164495311	2023-07-03	63-41-eastlake-parade-kingston-canberra	Offers over $600,000
1318166740011	2023-07-03	13-233-flemington-road-franklin-canberra	$690,000 - $720,000
1318166875311	2023-07-03	105-335-anketell-street-greenway-canberra	By Negotiation
1318167530711	2023-07-03	77-51-nullarbor-avenue-franklin-canberra	$380,000
1318168557711	2023-07-03	25-cathcart-close-chisholm-canberra	$699,000
